,pronoun_frequency,np_vp_ratio,tense
123,0.0,0.5,UNKNOWN
124,0.1,1.4,PRESENT_SIMPLE_PLURAL
125,0.0625,1.6666666666666667,PRESENT_SIMPLE
126,0.06666666666666667,4.0,PAST_SIMPLE
127,0.5,1.5,PRESENT_SIMPLE_PLURAL
128,0.2,1.3333333333333333,PAST_SIMPLE
129,0.12,1.8,PAST_SIMPLE
130,0.2631578947368421,7.0,PRESENT_SIMPLE_PLURAL
131,0.14285714285714285,1.0,UNKNOWN
132,0.0,4.0,PRESENT_SIMPLE_PLURAL
133,0.0,3.0,PAST_SIMPLE
134,0.0,3.0,PRESENT_SIMPLE
135,0.037037037037037035,2.25,PAST_SIMPLE
136,0.15789473684210525,3.5,PRESENT_SIMPLE_PLURAL
137,0.13333333333333333,1.8571428571428572,PRESENT_SIMPLE
138,0.2,2.0,PRESENT_SIMPLE
139,0.3333333333333333,3.0,PAST_SIMPLE
140,0.0,5.5,UNKNOWN
141,0.06666666666666667,2.5,PRESENT_SIMPLE_PLURAL
142,0.06666666666666667,7.0,PAST_SIMPLE
143,0.0,2.5,PRESENT_SIMPLE
144,0.18518518518518517,2.6666666666666665,PRESENT_SIMPLE
145,0.15384615384615385,3.0,PAST_SIMPLE
146,0.0,1.5,PRESENT_CONTINUOUS
147,0.2,1.25,PRESENT_SIMPLE_PLURAL
148,0.0,1.0,PRESENT_SIMPLE
149,0.17391304347826086,2.0,PRESENT_SIMPLE
150,0.16666666666666666,2.0,UNKNOWN
151,0.0,2.0,PRESENT_SIMPLE_PLURAL
152,0.14285714285714285,4.0,PRESENT_SIMPLE
153,0.045454545454545456,1.6666666666666667,PRESENT_SIMPLE_PLURAL
154,0.2,1.0,UNKNOWN
155,0.08333333333333333,3.0,UNKNOWN
156,0.0,6.0,PAST_SIMPLE
157,0.058823529411764705,2.5,PRESENT_SIMPLE
158,0.14285714285714285,2.0,PRESENT_SIMPLE_PLURAL
159,0.21052631578947367,3.0,PAST_SIMPLE
160,0.3333333333333333,2.0,PAST_SIMPLE
161,0.0,1.0,UNKNOWN
162,0.17647058823529413,1.75,PRESENT_CONTINUOUS
163,0.1,3.0,PRESENT_SIMPLE_PLURAL
164,0.15789473684210525,4.0,PRESENT_SIMPLE
165,0.0,6.0,PAST_SIMPLE
166,0.17857142857142858,2.6666666666666665,PRESENT_SIMPLE
167,0.16666666666666666,3.3333333333333335,PAST_SIMPLE
168,0.08,2.0,PAST_SIMPLE
169,0.07142857142857142,1.5,PRESENT_SIMPLE
170,0.06896551724137931,4.0,PRESENT_SIMPLE
171,0.0,1.0,PRESENT_SIMPLE
172,0.0,0.0,UNKNOWN
173,0.14285714285714285,3.0,PRESENT_SIMPLE_PLURAL
174,0.07142857142857142,1.0,PRESENT_SIMPLE_PLURAL
175,0.13333333333333333,5.0,PAST_SIMPLE
176,0.0,2.0,PRESENT_SIMPLE
177,0.1111111111111111,2.0,PRESENT_SIMPLE_PLURAL
178,0.07692307692307693,2.0,UNKNOWN
179,0.2,1.0,PRESENT_SIMPLE_PLURAL
180,0.125,4.0,PRESENT_SIMPLE
181,0.13333333333333333,1.6666666666666667,PRESENT_SIMPLE_PLURAL
182,0.06666666666666667,1.5,PRESENT_SIMPLE_PLURAL
183,0.06666666666666667,1.0,PRESENT_SIMPLE_PLURAL
184,0.045454545454545456,3.0,PRESENT_SIMPLE
185,0.0,4.0,PRESENT_SIMPLE_PLURAL
186,0.25,1.6666666666666667,PRESENT_CONTINUOUS
187,0.0,3.0,PRESENT_SIMPLE
188,0.09090909090909091,1.0,PAST_SIMPLE
189,0.2,4.0,PRESENT_SIMPLE_PLURAL
190,0.05,4.0,UNKNOWN
191,0.0,5.0,PRESENT_SIMPLE
192,0.16,2.5,PRESENT_CONTINUOUS
193,0.09090909090909091,3.0,PAST_SIMPLE
194,0.1875,2.0,PRESENT_SIMPLE
195,0.0,2.0,PRESENT_SIMPLE
196,0.07692307692307693,5.0,PAST_SIMPLE
197,0.0,0.0,UNKNOWN
198,0.14285714285714285,1.5,PAST_SIMPLE
199,0.1111111111111111,4.0,PRESENT_SIMPLE_PLURAL
200,0.0,3.0,PRESENT_SIMPLE
201,0.0,6.0,PRESENT_SIMPLE
202,0.0,1.5,PAST_SIMPLE
203,0.14285714285714285,2.0,PAST_SIMPLE
204,0.16666666666666666,2.0,PRESENT_SIMPLE
205,0.125,2.3333333333333335,PRESENT_SIMPLE
